Estado de Resultados;;;RECOMENDACIONES;;;
VENTAS;$1,743,484.00;;Para analisis comparativo lo que se recomienda mantener las fuentes de informacion lo más unificadas posibles.;;;
COSTO VENTAS;$132,972.00;;;;;
UTILIDAD BRUTA;$1,610,512.00;;Del total de ventas solo un 7% de los gastos son destinados a la ventas mientras que un 42% representa gastos operativos.;;;
GASTOS OPERATIVOS;$734,000.00;;;;;
UTILIDAD OPERACIONAL;$876,512.00;;Los gastos de tecnología y comunicación son los más altos de la empresa, así también los gastos de destinados a los espacios físicos como almacenamiento y alquiler. Recomiendo evaluar el stock que se tiene de productos y optimizarlo para arrendar espacios más cómodos económicamente.;;;
ISR 1 TRIMESTRE;$137,442.76;;;;;
ISR 2 TRIMESTRE;$124,950.00;;;;;
ISR 3 TRIMESTRE;$142,674.56;;Se recomienda también evaluar qué empleados pueden trabajar desde casa para optimizar costos de suministros de empresa, alquiler y arrendamiento de espacios y reducir costos en gastos bases de comunicación e internet.;;;
ISR 4 TRIMESTRE;$78,888.32;;;;;
UTILIDAD NETA;$388,392.76;;;;;
;;;Recomendamos dar un foco de ventas a los meses de Abril y Julio mejorando la inversión en publicidad para aumentar el retorno de inversión en esos meses y promover estrategias ingernas de comisiones de ventas y bonificaciones en los meses de  mayo y diciembre para mejorar la rentabilidad y ventas.;;;
;;;;;;
;;;Gastos de tecnología y comunicación incluyendo servicios de Internet telefonía y software;$120,000.00;;
Bonificaciones de ventas;$24,996.00;;Gastos de almacenamiento y logística;$110,000.00;;
Comisiones de venta;$19,992.00;;Salarios y beneficios de los empleados;$85,000.00;;
Costos de producción de material publicitario;$15,000.00;;Depreciación de activos fijos;$75,000.00;;
Costos de publicidad y marketing;$15,000.00;;Alquiler o arrendamiento de espacio comercial u oficinas;$65,000.00;;
Gastos de promoción de ventas;$15,996.00;;Gastos de mantenimiento y reparaciones de instalaciones;$50,000.00;;
;;;Honorarios profesionales como asesores legales y contables;$50,000.00;;
;;;Suministros de oficina y consumibles;$40,000.00;;
;;;Gastos de mantenimiento y reparación de equipos;$35,000.00;;
;;;Costos de seguros como seguros generales o de responsabilidad civil;$25,000.00;;
